S.No,Text,,,,,,,,,,,,,,,,,,,,,
1,"Respected Prime Minister Ji,I AM THE ENGINE CADET IN MERCHANT NAVY AND I WANT YOU TO BRING YOUR KIND ATTENTION ON THE MERCHANT FIELD AS IT IS THE LARGEST WAY OF TRANSPORTATION USED BY WORLD WIDE AND INDIAN IS COMING ON 3RD RANK IN MARINE FIELD DUE THE DISCIPLINE AND HARD WORKING CADETS OF OUR COUNTRY,BUT DAY BY DAY OUR MARITIME TRAINING STANDARDS ARE GOING DOWN THERE IS DECREASE IN DEMAND OF INDIAN CADETS.AND MANY JOURNALS ARE WRITING ABOUT IT ONE OF THE EXAMPLES HAS BEEN ATTACHED. KINDLY LOOK",,,,,,,,,,,,,,,,,,,,,
2,"Sir,
Based on SFAC report, 96.28% fire personnel required to fulfill our country's fire services. Mean we have only 3.72%. In European country, more than 70% fire fighters are volunteers. Like this way, only volunteers fire fighters can fulfill our requirements. Sir, you are the man who can motivate/inspire our country's youth to become #VolunteerFireFighter to build #FireSafeIndia #JaiHind
As firefighter, we will feel proud if you talk on same during #MannKiBaat",,,,,,,,,,,,,,,,,,,,,
3,"Dear Sir My Suggestion. Please make Adharr Card a must for every thing in India.
I like to See India in top 5 in madel tally in all sport events. I have some plan call me 1 + 416 930 8132.
India has the Sun power. harvest Solar power the most. I would like to see india a super power in solar energy. I have plan for it too.
Harvest drinking water from Sea for all major city.
Use Israel tech for our farmers and bring in the green revolution. This can be your trump card for next ele.",,,,,,,,,,,,,,,,,,,,,
4,"Hi sir, this is regarding of bank accounts to maintain minimum of 5000rs, sir we are students how can we maintain minimum balance in banks? And also for pension holders will be depended on pensions only, even for them to maintain minimum of 5000 is difficult as not all of pension holders are rich enough or they get too much to leave 5000 in account only.. so pls do something regarding student and pension holders account sir.. pls sir it's a humble request.",,,,,,,,,,,,,,,,,,,,,
5,"Sir make a system to pay all the employees central , state  and local govt through bank Account. FYI in Australia if a employee for a job he or she must submit their Bank Account no else can't apply for job.",,,,,,,,,,,,,,,,,,,,,
6,"Sir if you go to Assam particularly in  dist of cachar (whare BJP won in last assembly election 100% )like Silchar, Karimganj and Hailakandi , over there for everything and anything bribery is a must thing , if you bribe you will get through else nothing works starting form electricty , PWD in office any file clearence,  pls send some of your offices in disguise and they will find it out easily.",,,,,,,,,,,,,,,,,,,,,
7,"Respected Sir,
Our country's fire safety will be improved if fire safety awareness can be improved. This can be only done if we include awarness programme in school level. Our home ministry already developed various training material but those are not promoted well. Fire safety awareness can be included in school level syllabus. Sir, you advise to our nation on Fire Service Day to think about your fire safety around your home/office. I have prepared one report on same, unable to attach here.",,,,,,,,,,,,,,,,,,,,,
8,"Sir your excellency Mr. Modi .1.  Make it compulsory that all school must use Khaki clothes for their uniform that will boost national income.2. Let all the state create a new portfolio for cabinet ministry must have a position of JAIL MINISTER AND STATE JAIL MINISTER who will look into the safety , food of jail and training in different field to build carrier so that once they comes out of jail they will not go back to do wrong things so that they can start a new life.",,,,,,,,,,,,,,,,,,,,,
9,"Dear sir, I am Tapan Ranjan Das, from bengalore, 72 years old.
For new India, my suggestion will be first to stop leakage, seepage, wastage, pilferage and misuse of Water, Electricity, systems (Government offices, Railways, Air India) & facilities & subsidies. (Given a chance I can provide some examples). Thank You",,,,,,,,,,,,,,,,,,,,,
10,"Respected Sir
Want to bring this to your notice that fire safety awareness & fire services condition of our country is too poor although fire incident is common. In 1956, SFAC was advised to implement similar regulation across country. But even today, many states don't have rules/act. Same also reflected in ""Fire Hazard and Risk Analysis in the Country for Revamping the Fire Services in the Country"" report. Plz promote fire safety awareness on Fire Service Day to build #FireSafeIndia #JaiHind",,,,,,,,,,,,,,,,,,,,,
1,"Respected SIR, You are created a 'NEW INDIA' (SRI RAMA RAJYAM). I would like suggest you introduce new scheme 'OM' INDIA. Please advertise all schemes like clean Ganga, swatcha bharat, startup india.. etc  in all government buses, trains and flights. And also introduce a one chapter at school level.",,,,,,,,,,,,,,,,,,,,,
